codProc,nome
0201010283,BIOPSIA DE MUSCULO (A CEU ABERTO)
0201010291,BIOPSIA DE NERVO
0201010305,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)
0201010313,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)
0201010321,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)
0201010330,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)
0201010348,BIÓPSIA DE OSSO DO CRÂNIO E DA FACE
0201010356,BIOPSIA DE PALPEBRA
0201010364,BIOPSIA DE PAVILHAO AURICULAR
0201010372,BIOPSIA DE PELE E PARTES MOLES
0201010380,BIOPSIA DE PENIS
0201010399,BIOPSIA DE PIRAMIDE NASAL
0201010402,BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA)
0201010410,BIOPSIA DE PROSTATA
0201010429,BIOPSIA DE PULMAO POR ASPIRACAO
0201010437,BIOPSIA DE RIM POR PUNCAO
0201010445,BIOPSIA DE SEIO PARANASAL
0201010453,BIOPSIA DE SINÓVIA
0201010461,BIOPSIA DE TESTICULO
0201010470,BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF
0201010488,BIOPSIA DE URETER
0201010496,BIOPSIA DE URETRA
0201010666,BIOPSIA DO COLO UTERINO
0201010526,BIÓPSIA DOS TECIDOS MOLES DA BOCA
0201010534,BIOPSIA ESTEREOTAXICA
0201010542,BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNETICA / RAIO X
0201010550,BIOPSIA PRÉ-ESCALÊNICA
0201010569,BIOPSIA/EXERESE DE NODULO DE MAMA
0201010500,BIOPSIA/PUNÇÃO DE VAGINA
0201010518,BIOPSIA/PUNÇÃO DE VULVA
0204030013,BRONCOGRAFIA UNILATERAL
0209040017,BRONCOSCOPIA (BRONCOFIBROSCOPIA)
0211060038,CAMPIMETRIA COMPUTADORIZADA OU MANUAL COM GRÁFICO
0211010014,CAPILAROSCOPIA
0208040013,CAPTACAO DE IODO RADIOATIVO EM 24H
0211020010,CATETERISMO CARDIACO
0211020028,CATETERISMO CARDIACO EM PEDIATRIA
0211090026,CATETERISMO DE URETRA
0211060054,CERATOMETRIA
0208050019,CINTILOGRAFIA DE ARTICULACOES E/OU EXTREMIDADES E/OU OSSO
0208010017,CINTILOGRAFIA DE CORACAO C/ GALIO 67
0208090010,CINTILOGRAFIA DE CORPO INTEIRO C/ GALIO 67 P/ PESQUISA DE NEOPLASIAS
0208050027,CINTILOGRAFIA DE ESQUELETO (CORPO INTEIRO)
0208020012,CINTILOGRAFIA DE FIGADO E BACO (MINIMO 5 IMAGENS)
0208020020,CINTILOGRAFIA DE FIGADO E VIAS BILIARES
0208090029,CINTILOGRAFIA DE GLANDULA LACRIMAL (DACRIOCINTILOGRAFIA)
0208020039,CINTILOGRAFIA DE GLANDULAS SALIVARES C/ OU S/ ESTIMULO
0208090037,CINTILOGRAFIA DE MAMA (BILATERAL)
0208010025,CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE ESTRESSE (MINIMO 3 PROJECOES)
0208010033,CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE REPOUSO (MINIMO 3 PROJECOES)
0208010041,CINTILOGRAFIA DE MIOCARDIO P/ LOCALIZACAO DE NECROSE (MINIMO 3 PROJECOES )
0208050035,CINTILOGRAFIA DE OSSOS C/ OU S/ FLUXO SANGUINEO (CORPO INTEIRO)
0208020047,CINTILOGRAFIA DE PANCREAS
0208030018,CINTILOGRAFIA DE PARATIREOIDES
0208060014,CINTILOGRAFIA DE PERFUSAO CEREBRAL C/ TALIO (SPCTO)
0208070010,CINTILOGRAFIA DE PULMAO C/ GALIO 67
0208070028,CINTILOGRAFIA DE PULMÃO P/ PESQUISA DE ASPIRAÇÃO
0208070036,CINTILOGRAFIA DE PULMAO POR INALACAO (MINIMO 2 PROJECOES)
0208070044,CINTILOGRAFIA DE PULMAO POR PERFUSAO (MINIMO 4 PROJECOES)
0208040021,CINTILOGRAFIA DE RIM C/ GALIO 67
0208050043,CINTILOGRAFIA DE SEGMENTO OSSEO C/ GALIO 67
0208080015,CINTILOGRAFIA DE SISTEMA RETICULO-ENDOTELIAL (MEDULA OSSEA)
0208040030,CINTILOGRAFIA DE TESTICULO E BOLSA ESCROTAL
0208030026,CINTILOGRAFIA DE TIREOIDE C/ OU S/ CAPTACAO
0208030034,CINTILOGRAFIA DE TIREOIDE C/ TESTE DE SUPRESSAO / ESTIMULO
0208010050,CINTILOGRAFIA P/ AVALIACAO DE FLUXO SANGUINEO DE EXTREMIDADES
0208020055,CINTILOGRAFIA P/ ESTUDO DE TRANSITO ESOFAGICO (LIQUIDO)
0208020063,CINTILOGRAFIA P/ ESTUDO DE TRANSITO ESOFAGICO (SEMI-SOLIDO)
0208020071,CINTILOGRAFIA P/ ESTUDO DE TRANSITO GASTRICO
0208020080,CINTILOGRAFIA P/ PESQUISA DE DIVERTICULOSE DE MECKEL
0208020098,CINTILOGRAFIA P/ PESQUISA DE HEMORRAGIA DIGESTIVA ATIVA
0208020101,CINTILOGRAFIA P/ PESQUISA DE HEMORRAGIA DIGESTIVA NAO ATIVA
0208020110,CINTILOGRAFIA P/ PESQUISA DE REFLUXO GASTRO-ESOFAGICO
0208030042,CINTILOGRAFIA P/ PESQUISA DO CORPO INTEIRO
0208040048,CINTILOGRAFIA P/ PESQUISA DO REFLUXO VESICO-URETERAL
0208010068,CINTILOGRAFIA P/ QUANTIFICACAO DE SHUNT EXTRACARDIACO
0208040056,CINTILOGRAFIA RENAL/RENOGRAMA (QUALITATIVA E/OU QUANTITATIVA)
0208010076,CINTILOGRAFIA SINCRONIZADA DE CAMARAS CARDIACAS EM SITUACAO DE ESFORCO
0208010084,CINTILOGRAFIA SINCRONIZADA DE CAMARAS CARDIACAS EM SITUACAO DE REPOUSO (VENTRICULOGRAFIA)
0208060022,CISTERNOCINTILOGRAFIA (INCLUINDO PESQUISA E/OU AVALIACAO DO TRANSITO LIQUORICO)
0208040064,CISTOCINTILOGRAFIA DIRETA
0208040072,CISTOCINTILOGRAFIA INDIRETA
0211090034,CISTOMETRIA C/ CISTOMETRO
0211090042,CISTOMETRIA SIMPLES
0209020016,CISTOSCOPIA E/OU URETEROSCOPIA E/OU URETROSCOPIA
0202090035,CITOLOGIA P/ CLAMIDIA
0202090043,CITOLOGIA P/ HERPESVIRUS
0202020010,CITOQUIMICA HEMATOLOGICA
0202050025,CLEARANCE DE CREATININA
0202050033,CLEARANCE DE FOSFATO
0202050041,CLEARANCE DE UREIA
0202010015,CLEARANCE OSMOLAR
0204050014,CLISTER OPACO C/ DUPLO CONTRASTE
0204050022,COLANGIOGRAFIA PER-OPERATORIA
0204050030,COLANGIOGRAFIA POS-OPERATORIA
0210020016,COLANGIOGRAFIA TRANSCUTANEA
0209010010,COLANGIOPANCREATOGRAFIA RETROGRADA (VIA ENDOSCÓPICA)
0201020017,COLETA DE LAVADO BRONCO-ALVEOLAR
0201020025,COLETA DE LINFA P/ PESQUISA DE M. LEPRAE
0201020033,COLETA DE MATERIAL P/ EXAME CITOPATOLOGICO DE COLO UTERINO
0201020041,COLETA DE MATERIAL P/ EXAME LABORATORIAL
0201020050,COLETA DE SANGUE P/ TRIAGEM NEONATAL
0201020068,COLETA DE SANGUE PARA TIPIFICAÇÃO DO ALELO HLA-B
0209010029,COLONOSCOPIA (COLOSCOPIA)
0211040029,COLPOSCOPIA
0202050050,CONTAGEM DE ADDIS
0202030016,CONTAGEM DE LINFOCITOS B
0202030024,CONTAGEM DE LINFOCITOS CD4/CD8
0202030032,CONTAGEM DE LINFOCITOS T TOTAIS
0202020029,CONTAGEM DE PLAQUETAS
0202020037,CONTAGEM DE RETICULOCITOS
0202090051,CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR
0202090060,CONTAGEM GLOBAL DE CELULAS NO LIQUOR
0203010078,CONTROLE DE QUALIDADE DO EXAME CITOPATOLÓGICO CERVICO VAGINAL
0202080080,CULTURA DE BACTERIAS P/ IDENTIFICACAO
0202080099,CULTURA DO LEITE HUMANO (POS-PASTEURIZAÇÃO)
0202080102,CULTURA P/ HERPESVIRUS
0213020076,CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE AGUA
0213020084,CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE ALIMENTOS
0202080110,CULTURA PARA BAAR
0202080129,CULTURA PARA BACTERIAS ANAEROBICAS
0202080137,CULTURA PARA IDENTIFICACAO DE FUNGOS
0211060062,CURVA DIARIA DE PRESSAO OCULAR CDPO (MINIMO 3 MEDIDAS)
0204010012,DACRIOCISTOGRAFIA
0212020013,DELEUCOCITACAO DE CONCENTRADO DE HEMACIAS
0212020021,DELEUCOCITACAO DE CONCENTRADO DE PLAQUETAS
0208080023,DEMONSTRACAO DE SEQUESTRO DE HEMACIAS PELO BACO (C/ RADIOISOTOPOS)
0204060028,DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR)
0202030040,DETECCAO DE ÁCIDOS NUCLEICOS DO HIV-1 (QUALITATIVO)
0202030997,DETECÇÃO DE CLAMÍDIA E GONOCOCO POR BIOLOGIA MOLECULAR
0202031250,DETECÇÃO DE RNA DO HTLV-1
0202030059,DETECCAO DE RNA DO VIRUS DA HEPATITE C (QUALITATIVO)
0202110010,DETECCAO DE VARIANTES DA HEMOGLOBINA (DIAGNOSTICO TARDIO)
0202110133,DETECÇÃO MOLECULAR DE MUTAÇÃO EM DEFICIÊNCIA DE BIOTINIDASE
0202110028,DETECCAO MOLECULAR DE MUTACAO EM HEMOGLOBINOPATIAS (CONFIRMATORIO)
0202110125,DETECÇÃO MOLECULAR DE MUTAÇÃO EM HIPERPLASIA ADRENAL CONGÊNITA
0202110036,DETECCAO MOLECULAR EM FIBROSE CISTICA (CONFIRMATORIO)
0202120015,DETERMINACAO DE ANTICORPOS ANTIPLAQUETARIOS
0202010023,DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO
0213010011,DETERMINACAO DE CARGA VIRAL DO HIV POR RT-PCR
0202100014,DETERMINACAO DE CARIOTIPO EM CULTURA DE LONGA DURACAO (C/ TECNICA DE BANDAS)
0202100022,DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)
0202100030,DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)
0202030067,DETERMINACAO DE COMPLEMENTO (CH50)
0202010775,DETERMINAÇÃO DE CREMATÓCRITO NO LEITE HUMANO ORDENHADO
0202010031,DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS
0202020045,DETERMINACAO DE CURVA DE RESISTENCIA GLOBULAR
0202010040,DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)
0202010058,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS)
0202010066,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS)
0202010074,DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS)
0202020053,DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA)
0202030075,DETERMINACAO DE FATOR REUMATOIDE
0208040080,DETERMINACAO DE FILTRACAO GLOMERULAR
0208040099,DETERMINACAO DE FLUXO PLASMATICO RENAL
0208010092,DETERMINACAO DE FLUXO SANGUINEO REGIONAL
0202090078,DETERMINACAO DE FOSFOLIPIDIOS RELACAO LECITINA - ESFINGOMIELINA NO LIQUIDO AMNIOTICO
0202060012,DETERMINACAO DE INDICE DE TIROXINA LIVRE
0202050068,DETERMINACAO DE OSMOLALIDADE
0202010082,DETERMINACAO DE OSMOLARIDADE
0211090050,DETERMINACAO DE PRESSAO INTRA-ABDOMINAL
0203020014,DETERMINACAO DE RECEPTORES TUMORAIS HORMONAIS
0202060020,DETERMINACAO DE RETENCAO DE T3
0208080031,DETERMINACAO DE SOBREVIDA DE HEMACIAS (C/ RADIOSOTOPOS)
0202020061,DETERMINACAO DE SULFO-HEMOGLOBINA
0202060039,DETERMINACAO DE T3 REVERSO
0202020070,DETERMINACAO DE TEMPO DE COAGULACAO
0202020088,DETERMINACAO DE TEMPO DE LISE DA EUGLOBULINA
0202020100,DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY
0202020096,DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE
0202020118,DETERMINACAO DE TEMPO DE SOBREVIDA DE HEMACIAS
0202020126,DETERMINACAO DE TEMPO DE TROMBINA
0202020134,DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)
0202020142,DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)
0202020150,DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)
0202120023,DETERMINACAO DIRETA E REVERSA DE GRUPO ABO
0202030083,DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA
0202110109,DOSAGEM DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SANGUE EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)
0202031195,DOSAGEM DA FRAÇÃO C1Q DO COMPLEMENTO
0202110095,DOSAGEM DE 17 HIDROXI PROGESTERONA EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)
0202060047,DOSAGEM DE 17-ALFA-HIDROXIPROGESTERONA
0202060055,DOSAGEM DE 17-CETOSTEROIDES TOTAIS
0202060063,DOSAGEM DE 17-HIDROXICORTICOSTEROIDES
0202010767,DOSAGEM DE 25 HIDROXIVITAMINA D
0202010090,DOSAGEM DE 5-NUCLEOTIDASE
0202010104,DOSAGEM DE ACETONA
0202060071,DOSAGEM DE ACIDO 5-HIDROXI-INDOL-ACETICO (SEROTONINA)
0202010112,DOSAGEM DE ACIDO ASCORBICO
0202070018,DOSAGEM DE ACIDO DELTA-AMINOLEVULINICO
0202070026,DOSAGEM DE ACIDO HIPURICO
0202070034,DOSAGEM DE ACIDO MANDELICO
0202070042,DOSAGEM DE ACIDO METIL-HIPURICO
0202010120,DOSAGEM DE ACIDO URICO
0202070050,DOSAGEM DE ACIDO VALPROICO
0202010139,DOSAGEM DE ACIDO VANILMANDELICO
0202060080,DOSAGEM DE ADRENOCORTICOTROFICO (ACTH)
0202070069,DOSAGEM DE ALA-DESIDRATASE
0202070077,DOSAGEM DE ALCOOL ETILICO
0202010147,DOSAGEM DE ALDOLASE
0202060098,DOSAGEM DE ALDOSTERONA
0202010155,DOSAGEM DE ALFA-1-ANTITRIPSINA
0202010163,DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA
0202010171,DOSAGEM DE ALFA-2-MACROGLOBULINA
0202030091,DOSAGEM DE ALFA-FETOPROTEINA
0202070085,DOSAGEM DE ALUMINIO
0202010180,DOSAGEM DE AMILASE
0202070093,DOSAGEM DE AMINOGLICOSIDEOS
0202010198,DOSAGEM DE AMONIA
0202060101,DOSAGEM DE AMP CICLICO
0202060110,DOSAGEM DE ANDROSTENEDIONA
0202070107,DOSAGEM DE ANFETAMINAS
0202020169,DOSAGEM DE ANTICOAGULANTE CIRCULANTE
0202031187,DOSAGEM DE ANTICORPOS ANTITRANSGLUTAMINAISE RECOMBINANTE HUMANO IGA
0202070115,DOSAGEM DE ANTIDEPRESSIVOS TRICICLICOS
0202030105,DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)
0202020177,DOSAGEM DE ANTITROMBINA III
0202070123,DOSAGEM DE BARBITURATOS
0202070131,DOSAGEM DE BENZODIAZEPINICOS
0202030113,DOSAGEM DE BETA-2-MICROGLOBULINA
0202010201,DOSAGEM DE BILIRRUBINA TOTAL E FRACOES
0202070140,DOSAGEM DE CADMIO
0202010210,DOSAGEM DE CALCIO
0202010228,DOSAGEM DE CALCIO IONIZAVEL
0202060128,DOSAGEM DE CALCITONINA
0202070158,DOSAGEM DE CARBAMAZEPINA
0202070166,DOSAGEM DE CARBOXI-HEMOGLOBINA
0202010236,DOSAGEM DE CAROTENO
0202010244,DOSAGEM DE CATECOLAMINAS
0202010252,DOSAGEM DE CERULOPLASMINA
0202070174,DOSAGEM DE CHUMBO
0202070182,DOSAGEM DE CICLOSPORINA
0202050084,DOSAGEM DE CITRATO
0202010260,DOSAGEM DE CLORETO
0202110141,DOSAGEM DE CLORETO NO SUOR
0202070190,DOSAGEM DE COBRE
0202010279,DOSAGEM DE COLESTEROL HDL
0202010287,DOSAGEM DE COLESTEROL LDL
0202010295,DOSAGEM DE COLESTEROL TOTAL
0202010309,DOSAGEM DE COLINESTERASE
0202030121,DOSAGEM DE COMPLEMENTO C3
0202030130,DOSAGEM DE COMPLEMENTO C4
0202060136,DOSAGEM DE CORTISOL
0202010317,DOSAGEM DE CREATININA
0202090086,DOSAGEM DE CREATININA NO LIQUIDO AMNIOTICO
0202010325,DOSAGEM DE CREATINOFOSFOQUINASE (CPK)
0202010333,DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB
0202030148,DOSAGEM DE CRIOAGLUTININA
0202060144,DOSAGEM DE DEHIDROEPIANDROSTERONA (DHEA)
0202010341,DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA
0202010350,DOSAGEM DE DESIDROGENASE GLUTAMICA
0202010368,DOSAGEM DE DESIDROGENASE LATICA
0202010376,DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)
0202070204,DOSAGEM DE DIGITALICOS (DIGOXINA, DIGITOXINA)
0202060152,DOSAGEM DE DIHIDROTESTOTERONA (DHT)
0202040011,DOSAGEM DE ESTERCOBILINOGENIO FECAL
0202060160,DOSAGEM DE ESTRADIOL
0202060179,DOSAGEM DE ESTRIOL
0202060187,DOSAGEM DE ESTRONA
0202070212,DOSAGEM DE ETOSSUXIMIDA
0202020185,DOSAGEM DE FATOR II
0202020193,DOSAGEM DE FATOR IX
0202020207,DOSAGEM DE FATOR V
0202020215,DOSAGEM DE FATOR VII
0202020223,DOSAGEM DE FATOR VIII
0202020231,DOSAGEM DE FATOR VIII (INIBIDOR)
0202020240,DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO)
0202020258,DOSAGEM DE FATOR X
0202020266,DOSAGEM DE FATOR XI
0202020274,DOSAGEM DE FATOR XII
0202020282,DOSAGEM DE FATOR XIII
0202110044,DOSAGEM DE FENILALANINA (CONTROLE / DIAGNOSTICO TARDIO)
0202110052,DOSAGEM DE FENILALANINA E TSH OU T4
0202110060,DOSAGEM DE FENILALANINA TSH OU T4 E DETECCAO DA VARIANTE DE HEMOGLOBINA (COMPONENTE DO TESTE DO PEZINHO)
0202070220,DOSAGEM DE FENITOINA
0202070239,DOSAGEM DE FENOL
0202010384,DOSAGEM DE FERRITINA
0202010392,DOSAGEM DE FERRO SERICO
0202020290,DOSAGEM DE FIBRINOGENIO
0202010406,DOSAGEM DE FOLATO
0202070247,DOSAGEM DE FORMALDEIDO
0202090221,DOSAGEM DE FOSFATASE ÁCIDA NO ESPERMA
0202010414,DOSAGEM DE FOSFATASE ACIDA TOTAL
0202010422,DOSAGEM DE FOSFATASE ALCALINA
0202090094,DOSAGEM DE FOSFATASE ALCALINA NO ESPERMA
0202010430,DOSAGEM DE FOSFORO
0202010449,DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA
0202090108,DOSAGEM DE FRUTOSE
0202090116,DOSAGEM DE FRUTOSE NO ESPERMA
0202010457,DOSAGEM DE GALACTOSE
0202010465,DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)
0202060195,DOSAGEM DE GASTRINA
0202010473,DOSAGEM DE GLICOSE
0202090124,DOSAGEM DE GLICOSE NO LIQUIDO SINOVIAL E DERRAMES
0202010481,DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE
0202060209,DOSAGEM DE GLOBULINA TRANSPORTADORA DE TIROXINA
0202060217,DOSAGEM DE GONADOTROFINA CORIONICA HUMANA (HCG, BETA HCG)
0202040020,DOSAGEM DE GORDURA FECAL
0202010490,DOSAGEM DE HAPTOGLOBINA
0202020304,DOSAGEM DE HEMOGLOBINA
0202020312,DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC
0202020320,DOSAGEM DE HEMOGLOBINA FETAL
0202010503,DOSAGEM DE HEMOGLOBINA GLICOSILADA
0202020339,DOSAGEM DE HEMOSSIDERINA
0202010511,DOSAGEM DE HIDROXIPROLINA
0202060225,DOSAGEM DE HORMONIO DE CRESCIMENTO (HGH)
0202060233,DOSAGEM DE HORMONIO FOLICULO-ESTIMULANTE (FSH)
0202060241,DOSAGEM DE HORMONIO LUTEINIZANTE (LH)
0202060250,DOSAGEM DE HORMONIO TIREOESTIMULANTE (TSH)
0202030156,DOSAGEM DE IMUNOGLOBULINA A (IGA)
0202030164,DOSAGEM DE IMUNOGLOBULINA E (IGE)
0202030172,DOSAGEM DE IMUNOGLOBULINA G (IGG)
0202030180,DOSAGEM DE IMUNOGLOBULINA M (IGM)
0202030199,DOSAGEM DE INIBIDOR DE C1-ESTERASE
0202060268,DOSAGEM DE INSULINA
